trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
237,False,"{'a': 0.5, 'e': 0.6367496289241701}",20,0,-34.77411759064322,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.9284713207390763}",20,0,-84.64092770724176,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
239,False,"{'a': 0.5, 'e': 0.9928708516677031}",35,0,-158.72692295242553,"{0: 22, 1: 6, 2: 3, 3: 2, 4: 2}",0
240,False,"{'a': 0.5, 'e': 0.8141809705265618}",20,0,-56.52889579878136,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
241,False,"{'a': 0.5, 'e': 0.4361511922464772}",20,0,-77.40711221947748,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
242,False,"{'a': 0.5, 'e': 0.04866360920015389}",20,12,12.590258562757906,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.5215638619118831}",20,9,-0.14302215764168835,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.8667670910519801}",25,0,-36.51521405844936,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
245,False,"{'a': 0.5, 'e': 0.9997555067434422}",20,0,-89.13114501453946,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.8879689066918555}",25,0,-40.22799571849781,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
247,False,"{'a': 0.5, 'e': 0.5587765492838215}",25,0,-25.32101207103108,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
248,False,"{'a': 0.5, 'e': 0.09277620459766088}",20,2,30.76947233625629,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.39593899065726024}",20,2,-64.15623113566859,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.7877145121442345}",25,9,-29.43370468025916,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.9866300485542645}",25,0,-65.61004742797054,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.9439841391523142}",20,9,-16.76119745278797,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.6702179898880674}",20,0,-60.46173738137263,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
254,False,"{'a': 0.5, 'e': 0.23235910202965793}",25,9,-0.6884567360403397,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.2623893978125999}",20,16,6.717679906680378,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.6928958219201651}",20,0,-49.2497002103828,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
257,False,"{'a': 0.5, 'e': 0.953757183235068}",20,0,-88.79326119362965,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.9811055226493881}",20,0,-184.71532538213341,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
259,False,"{'a': 0.5, 'e': 0.7682450128678183}",20,0,-189.7737294916895,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
260,False,"{'a': 0.5, 'e': 0.3672913304546965}",25,9,-52.065269009830416,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.12358807938670624}",25,9,2.7946303232854888,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.5842088171092893}",20,2,-83.5017416656803,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
263,False,"{'a': 0.5, 'e': 0.9017948614087224}",20,0,-164.6328104784743,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
264,False,"{'a': 0.5, 'e': 0.9985900724399912}",20,0,-93.23958040676091,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
265,False,"{'a': 0.5, 'e': 0.8508956066916382}",20,2,-6.316215100593427,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
